date,declination,pathloss,sun_offset,noise
2024-01-07,-19.5,1.16,58,45
2024-01-14,-16.0,-0.02,35,20
2024-01-21,24.7,1.08,125,50
2024-01-28,14.1,1.91,155,20
2024-02-04,-22.4,1.20,78,100
2024-02-11,-12.3,-0.23,15,25
2024-02-18,27.0,1.16,107,50
2024-02-25,10.3,1.96,174,20
2024-03-03,-25.0,1.25,98,240
2024-03-10,-8.7,-0.28,6,25
2024-03-17,28.2,1.13,88,45
2024-03-24,6.3,1.96,166,20
2024-03-31,-27.1,1.24,116,140
2024-04-07,-4.9,-0.17,25,25
2024-04-14,28.6,1.07,69,40
2024-04-21,2.2,1.92,147,25
2024-04-28,-28.2,1.12,133,70
2024-05-05,-0.4,0.04,43,25
2024-05-12,28.1,1.06,50,30
2024-05-19,-1.9,1.86,128,30
2024-05-26,-28.4,0.90,150,45
2024-06-02,4.5,0.25,60,25
2024-06-09,27.0,1.14,31,30
2024-06-16,-5.8,1.82,109,30
2024-06-23,-27.7,0.64,167,40
2024-06-30,9.7,0.39,76,25
2024-07-07,25.3,1.30,13,25
2024-07-14,-9.7,1.81,91,25
2024-07-21,-26.4,0.41,172,35
2024-07-28,14.7,0.42,92,30
2024-08-04,23.0,1.49,7,20
2024-08-11,-13.5,1.83,72,35
2024-08-18,-24.5,0.27,155,35
2024-08-25,19.0,0.35,108,35
2024-09-01,20.0,1.66,23,15
2024-09-08,-17.1,1.85,53,40
2024-09-15,-22.2,0.27,137,30
2024-09-22,22.4,0.22,126,45
2024-09-29,16.6,1.76,41,15
2024-10-06,-20.5,1.83,35,45
2024-10-13,-19.3,0.37,118,25
2024-10-20,24.8,0.12,145,60
2024-10-27,12.7,1.79,60,20
2024-11-03,-23.4,1.73,17,120
2024-11-10,-15.4,0.50,100,20
2024-11-17,26.5,0.13,164,60
2024-11-24,8.8,1.76,80,20
2024-12-01,-25.7,1.57,5,240
2024-12-08,-10.7,0.54,82,25
2024-12-15,27.7,0.30,173,50
2024-12-22,4.8,1.74,100,20
2024-12-29,-27.3,1.40,24,140
