date,declination,pathloss,sun_offset,noise
2026-01-04,25.5,0.06,171,30
2026-01-11,-12.7,1.71,86,25
2026-01-18,-26.2,1.61,10,40
2026-01-25,10.6,0.59,75,25
2026-02-01,23.5,0.27,167,25
2026-02-08,-16.1,1.69,107,35
2026-02-15,-24.4,1.46,30,35
2026-02-22,15.3,0.44,57,30
2026-03-01,20.6,0.56,149,15
2026-03-08,-19.1,1.71,127,40
2026-03-15,-22.1,1.37,50,35
2026-03-22,19.2,0.20,39,35
2026-03-29,16.9,0.80,131,15
2026-04-05,-21.8,1.79,147,50
2026-04-12,-19.3,1.35,70,30
2026-04-19,22.3,-0.05,21,40
2026-04-26,12.5,0.95,114,20
2026-05-03,-24.1,1.88,165,140
2026-05-10,-16.0,1.38,89,25
2026-05-17,24.6,-0.21,6,60
2026-05-24,7.8,0.98,97,20
2026-05-31,-26.1,1.95,174,240
2026-06-07,-12.0,1.39,107,25
2026-06-14,26.3,-0.23,17,60
2026-06-21,3.3,0.95,79,20
2026-06-28,-27.4,1.96,158,140
2026-07-05,-7.6,1.34,124,25
2026-07-12,27.6,-0.11,34,50
2026-07-19,-0.9,0.90,61,25
2026-07-26,-28.0,1.93,140,80
2026-08-02,-3.0,1.20,141,25
2026-08-09,28.1,0.09,51,45
2026-08-16,-4.8,0.92,42,30
2026-08-23,-27.9,1.88,121,50
2026-08-30,1.6,0.98,158,25
2026-09-06,27.6,0.27,68,35
2026-09-13,-8.5,1.02,23,30
2026-09-20,-27.1,1.86,102,45
2026-09-27,5.8,0.72,175,25
2026-10-04,25.9,0.37,84,30
2026-10-11,-12.1,1.21,6,25
2026-10-18,-25.7,1.87,83,40
2026-10-25,9.7,0.51,164,25
2026-11-01,23.2,0.33,101,25
2026-11-08,-15.8,1.42,16,35
2026-11-15,-23.6,1.90,63,40
2026-11-22,13.2,0.42,144,25
2026-11-29,19.8,0.19,119,20
2026-12-06,-19.3,1.60,34,40
2026-12-13,-20.9,1.92,43,35
2026-12-20,16.5,0.48,124,30
2026-12-27,16.4,0.02,139,15
